2025-05-07 12:31:45,370 | INFO | Initiating Bat Backup v1.0.0.
2025-05-07 12:31:45,371 | INFO | Starting the 4-step process now.
2025-05-07 12:31:46,384 | INFO | Step 1 (Compression): Complete!
2025-05-07 12:31:49,097 | INFO | Backed up '/home/bruce/Videos/Screencasts/hi.log' to Cloud with filename as 'hi.log_kxc8ud.gz'. Original size: 0. Backed-up size: 4.0K.
2025-05-07 12:31:53,090 | INFO | Backed up '/home/bruce/Videos/Screencasts/Screencast from 22-10-24 12:28:17 PM IST.webm' to Cloud with filename as 'Screencast_from_22-10-24_12_28_17_PM_IST.webm_hlj1cu.gz'. Original size: 656K. Backed-up size: 608K.
2025-05-07 12:31:56,265 | INFO | Backed up '/home/bruce/Videos/Screencasts/Screencast from 22-10-24 12:52:35 PM IST.webm' to Cloud with filename as 'Screencast_from_22-10-24_12_52_35_PM_IST.webm_cfsnzy.gz'. Original size: 484K. Backed-up size: 452K.
2025-05-07 12:32:02,204 | INFO | Backed up '/home/bruce/Videos/Screencasts' to Cloud with filename as 'Screencasts_ttvwlo.tgz'. Original size: 2.2M. Backed-up size: 2.1M.
2025-05-07 12:32:02,204 | INFO | Step 2 (Backup): Complete!
2025-05-07 12:32:02,208 | INFO | Step 3 (Archive Removal): Complete!
2025-05-07 12:32:02,209 | INFO | Step 4 (Summary Generation): Complete!
2025-05-07 12:32:02,210 | INFO | Backup successfully complete!
2025-05-07 12:37:31,530 | INFO | Initiating Bat Backup v1.0.0.
2025-05-07 12:37:31,531 | INFO | Starting the 4-step process now.
2025-05-07 12:37:32,384 | INFO | Step 1 (Compression): Complete!
2025-05-07 12:37:34,144 | INFO | Backed up '/home/bruce/Videos/Screencasts/hi.log' to Cloud. Original size: 0. Backed-up size: 4.0K.
2025-05-07 12:37:37,563 | INFO | Backed up '/home/bruce/Videos/Screencasts/Screencast from 22-10-24 12:28:17 PM IST.webm' to Cloud. Original size: 656K. Backed-up size: 608K.
2025-05-07 12:37:39,611 | INFO | Backed up '/home/bruce/Videos/Screencasts/Screencast from 22-10-24 12:52:35 PM IST.webm' to Cloud. Original size: 484K. Backed-up size: 452K.
2025-05-07 12:37:44,411 | INFO | Backed up '/home/bruce/Videos/Screencasts' to Cloud. Original size: 2.2M. Backed-up size: 2.1M.
2025-05-07 12:37:44,411 | INFO | Step 2 (Backup): Complete!
2025-05-07 12:37:44,415 | INFO | Step 3 (Archive Removal): Complete!
2025-05-07 12:37:44,417 | INFO | Step 4 (Summary Generation): Complete!
2025-05-07 12:37:44,417 | INFO | Backup successfully complete!
2025-05-07 12:38:01,610 | INFO | Initiating Bat Backup v1.0.0.
2025-05-07 12:38:01,611 | INFO | Starting the 4-step process now.
2025-05-07 12:38:02,473 | INFO | Step 1 (Compression): Complete!
2025-05-07 12:38:04,183 | INFO | Backed up '/home/bruce/Videos/Screencasts/hi.log' to Cloud. Original size: 0. Backed-up size: 4.0K.
2025-05-07 12:38:07,677 | INFO | Backed up '/home/bruce/Videos/Screencasts/Screencast from 22-10-24 12:28:17 PM IST.webm' to Cloud. Original size: 656K. Backed-up size: 608K.
2025-05-07 12:38:09,973 | INFO | Backed up '/home/bruce/Videos/Screencasts/Screencast from 22-10-24 12:52:35 PM IST.webm' to Cloud. Original size: 484K. Backed-up size: 452K.
2025-05-07 12:38:15,042 | INFO | Backed up '/home/bruce/Videos/Screencasts' to Cloud. Original size: 2.2M. Backed-up size: 2.1M.
2025-05-07 12:38:15,042 | INFO | Step 2 (Backup): Complete!
2025-05-07 12:38:15,046 | INFO | Step 3 (Archive Removal): Complete!
2025-05-07 12:38:15,048 | INFO | Step 4 (Summary Generation): Complete!
2025-05-07 12:38:15,048 | INFO | Backup successfully complete!
