location,size,timestamp,public_id
/home/bruce/Videos/Screencasts/hi.log,4.0K,2025-05-16 13:39:47.891682,hi.log.gz.enc
/home/bruce/Videos/Screencasts/Screencast from 22-10-24 12:28:17 PM IST.webm,812K,2025-05-16 13:39:52.612363,Screencast from 22-10-24 12:28:17 PM IST.webm.gz.enc
/home/bruce/Videos/Screencasts/Screencast from 22-10-24 12:52:35 PM IST.webm,600K,2025-05-16 13:39:55.440273,Screencast from 22-10-24 12:52:35 PM IST.webm.gz.enc
/home/bruce/Videos/Screencasts,2.8M,2025-05-16 13:39:59.974986,Screencasts.tgz.enc
